date,game_id,team,opponent,inning,count,player_1,player_2,player_3,player_4,player_5
2025/09/24,PHI202509240,PHI,MIA,7,2,Otto Kemp,Edmundo Sosa,,,
2025/05/01,PIT202505010,CHN,PIT,5,2,Kyle Tucker,Seiya Suzuki,,,
2025/06/29,PIT202506290,PIT,NYN,1,2,Oneil Cruz,Tommy Pham,,,
2025/07/20,PIT202507200,CHA,PIT,1,2,Miguel Vargas,Mike Tauchman,,,
2025/09/17,PIT202509170,CHN,PIT,1,2,Ian Happ,Moises Ballesteros,,,
2025/04/14,SDN202504140,SDN,CHN,8,2,Fernando Tatis Jr.,Luis Arraez,,,
2025/08/18,SDN202508180,SFN,SDN,1,2,Heliot Ramos,Rafael Devers,,,
2025/08/21,SDN202508210,SFN,SDN,6,2,Rafael Devers,Willy Adames,,,
2025/09/03,SDN202509030,BAL,SDN,3,3,Colton Cowser,Coby Mayo,Alex Jackson,,
2025/09/12,SDN202509120,COL,SDN,4,2,Blaine Crim,Kyle Farmer,,,
2025/04/26,SEA202504260,SEA,MIA,1,2,Julio Rodriguez,Jorge Polanco,,,
2025/05/27,SEA202505270,SEA,WAS,1,2,Julio Rodriguez,Cal Raleigh,,,
2025/05/28,SEA202505280,WAS,SEA,2,2,Luis Garcia Jr.,Josh Bell,,,
2025/05/30,SEA202505300,SEA,MIN,1,2,Cal Raleigh,Randy Arozarena,,,
2025/06/05,SEA202506050,BAL,SEA,6,2,Adley Rutschman,Gunnar Henderson,,,
2025/06/13,SEA202506130,CLE,SEA,3,2,Nolan Jones,Steven Kwan,,,
2025/08/05,SEA202508050,CHA,SEA,9,2,Luis Robert Jr.,Colson Montgomery,,,
2025/08/06,SEA202508060,CHA,SEA,7,2,Mike Tauchman,Lenyn Sosa,,,
2025/08/09,SEA202508090,SEA,TBA,3,2,Cal Raleigh,Julio Rodriguez,,,
2025/09/24,SEA202509240,SEA,COL,1,2,Cal Raleigh,Julio Rodriguez,,,
2025/08/09,SFN202508090,WAS,SFN,3,2,Paul DeJong,Josh Bell,,,
2025/08/17,SFN202508170,SFN,TBA,7,2,Drew Gilbert,Tyler Fitzgerald,,,
2025/08/25,SLN202508250,PIT,SLN,3,2,Bryan Reynolds,Spencer Horwitz,,,
2025/09/01,SLN202509010,ATH,SLN,4,2,JJ Bleday,Zack Gelof,,,
2025/09/05,SLN202509050,SFN,SLN,1,2,Rafael Devers,Willy Adames,,,
2025/04/12,TBA202504120,ATL,TBA,8,2,Ozzie Albies,Sean Murphy,,,
2025/05/11,TBA202505110,MIL,TBA,4,2,Christian Yelich,William Contreras,,,
2025/05/21,TBA202505210,TBA,HOU,5,2,Josh Lowe,Brandon Lowe,,,
